"method","mean_rank_sd","median_rank_sd","raw_weight","weight"
"enet_rank",4.79143896230618,3.81997923807321,0.681598082309195,0.239738531182849
"dc_sis_rank",6.9542286103895,6.59928592444998,0.573304500558331,0.201648423685004
"sis_rank",7.0718481736261,7.27268547532399,0.567935255308981,0.199759898756532
"spls_rank",8.26841401313817,8.93335799447617,0.516090510441145,0.181524543777164
"xgb_rank",8.56074337243322,9.28903691975394,0.504161074456105,0.177328602598451
